Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Caribe Legend,Fully Cellular Container,3999,5336,1993,100.6,In Service,Hyde Shipping,Hyde Shipping,Hyde Shipping,Antigua & B.,,IFO 180,Diesel 4-Stroke,,508,,3825,Unspec,,,,ID,2,,Y,TBD645-9,645,Diesel 4-Stroke,"Feeder 100-1,000",,MWM,15.5,6.56,18.2,Caterpillar,Germany,United States,1089,Containerships,17
Caribe Mariner,Fully Cellular Container,2899,3950,1995,99.27,In Service,Hyde Shipping,Hyde Shipping,Hyde Shipping,Antigua & B.,,IFO 380,Diesel 4-Stroke,,340,,3332,MGO,,,,ID,2,,Y,8M32,M32,Diesel 4-Stroke,"Feeder 100-1,000",,MaK,16,4.9,16.2,Caterpillar,Germany,United States,228,Containerships,15
Atlantic Solli,Fully Cellular Container,23633,28325,2008,189,In Service,Atlantica Shipping,Atlantica Shipping,COSCO Shipping Lines,Liberia,,IFO 380,Diesel 2-Stroke,,2007,6120,18080,IFO 380,,,,ID,2,45,Y,8S60ME-C7.1,S60,Diesel 2-Stroke,"Feeder 2-2,999 TEU",,MAN B. & W.,21.5,11.5,28.5,MAN Energy Solutions,China P.R.,Norway,ZJB04-127,Containerships,74
Contship Era,Fully Cellular Container,9950,13760,2009,148,In Service,Contships Management,Contships Management,,Cyprus,,IFO 380,Diesel 4-Stroke,,1118,1830,9723,IFO 380,,19.6,,ID,2,22.5,Y,7L58/64,58/64,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MAN Energy Solutions,19.6,8.5,23.25,MAN Energy Solutions,China P.R.,Greece,20040327,Containerships,41
Contship Fox,Fully Cellular Container,9909,13760,2009,148,In Service,Contships Management,Contships Management,Pan Ocean,Cyprus,,IFO 380,Diesel 4-Stroke,,1118,1830,9723,,,,,ID,2,22.5,Y,7L58/64,58/64,Diesel 4-Stroke,"Feeder 1-1,999 TEU",,MAN Energy Solutions,19.6,8.5,23.25,MAN Energy Solutions,China P.R.,Greece,20040328,Containerships,41
Run Chang,Fully Cellular Container,7170,8524,2008,132.69,In Service,Qingdao China,Qingdao China,Sofast Shipping,Hong Kong,,IFO 380,Diesel 4-Stroke,,704,984,7000,,,,,ID,2,,Y,7M43C,M43,Diesel 4-Stroke,"Feeder 100-1,000",,MaK,17,7.65,19.2,Caterpillar,China P.R.,China P.R.,2060,Containerships,22
JSP Amihan,Fully Cellular Container,9996,11500,2008,139,In Service,Vega-Reederei,Vega-Reederei,MSC,Antigua & B.,,IFO 180,Diesel 4-Stroke,,957,1950,6296,,,,,ID,2,,Y,8L48/60B,48/60,Diesel 4-Stroke,"Feeder 100-1,000",,MAN Energy Solutions,18.1,8.8,22.6,MAN Energy Solutions,China P.R.,Germany,2061,Containerships,38.5
Jan Caribe,Fully Cellular Container,2770,3175,1988,94.5,In Service,Hyde Shipping,Hyde Shipping,King Ocean Services,Antigua & B.,,MDO,Diesel 4-Stroke,,262,,2220,,,,,ID,2,,Y,6R32D,VASA 32,Diesel 4-Stroke,"Feeder 100-1,000",,Wartsila 4-stroke,14.5,5.01,16.14,Wartsila,Germany,United States,1000,Containerships,
Durande,Fully Cellular Container,18334,23580,2003,175,In Service,Marfret,Marfret,Hapag-Lloyd Cont,Luxembourg,,IFO 380,Diesel 2-Stroke,,1740,3780,15785,,,,,ID,2,,Y,7S60MC-C7.1,S60,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,20,9.5,27.4,MAN Energy Solutions,China P.R.,France,292,Containerships,54
Acacia Virgo,Fully Cellular Container,9954,13760,2007,148,In Service,Goto Shipping,Goto Shipping,Heung-A Shipping,Panama,,IFO 380,Diesel 2-Stroke,,1118,,9960,,,,,ID,2,,Y,6S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19.5,8.5,23.25,MAN Energy Solutions,China P.R.,China P.R.,JSS02C-017,Containerships,42
