Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Global Rani,Chemical Bulk Tanker,3983,4250,1996,98.5,In Service,Global Tankers,Global Tankers,Global Tankers,Panama,,IFO 380,Diesel 4-Stroke,,,,3519,,,,,ID,2,,Y,8M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,15,6,15.8,Caterpillar,Netherlands,India,869,Chemical Tankers,14
Elisabeth J,Asphalt & Bitumen Carrier,4064,4300,2002,106,In Service,Bitumen Scheepvaart,Bitumen Scheepvaart,Bitumen Scheepvaart,Cyprus,,IFO 180,Diesel 4-Stroke,,,,2838,MGO,,,,ID,2,,Y,6M32,M32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,MaK,13,6,15.8,Caterpillar,China P.R.,Netherlands,93,Product Tankers,12
Serra Theresa,Chemical Bulk Tanker,1074,1520,2003,70.14,In Service,Bunkerbaires SA,Bunkerbaires SA,Bunkerbaires SA,Argentina,,MDO,Diesel 4-Stroke,,,,1103,,,,,ID,2,,Y,6M20,M20,Diesel 4-Stroke,"Small Chemical Tankers <2,000",,MaK,11,4.19,10.45,Caterpillar,Turkey,Argentina,54,Chemical Tankers,5
3B Spirit,Asphalt & Bitumen Carrier,4064,4300,2003,106,In Service,Azora Marine,Azora Marine,Azora Marine,Malta,,IFO 180,Diesel 4-Stroke,,,,2878,MGO,,,,ID,2,,Y,6M32C,M32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,MaK,14,6.3,15.8,Caterpillar,China P.R.,Greece,01-104,Product Tankers,12
Laura-H,Chemical Bulk Tanker,2982,5500,2002,110,In Service,Lauranne Shipping,Lauranne Shipping,Naviglobe N.V.,Gibraltar,,MDO,Diesel 4-Stroke,,,620,2648,Unspec,,,,ID,2,,Y,6DZC-1000,DZC,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,A.B.C.,13.5,5.67,14,A.B.C.,Romania,Netherlands,23,Chemical Tankers,
Maura Alessandra,Chem Parcel Tanker,3988,5667,2006,108.01,Idle,Famar,Famar,Famar,Panama,,IFO 180,Diesel 4-Stroke,,,1263,2720,MGO,,,,ID,2,,Y,8L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,14,6,16,MAN Energy Solutions,Turkey,Angola,53,Chemical Tankers,5.7
Stella Maris,Asphalt & Bitumen Carrier,4064,4500,2004,106,In Service,Tarbit Shipping,Tarbit Shipping,Tarbit Shipping,Netherlands,,,Diesel 4-Stroke,,,,2876,,,,,ID,2,,Y,6M32C,M32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,MaK,14,6.3,15.8,Caterpillar,China P.R.,Sweden,02-105,Product Tankers,
Key Marin,Chemical Bulk Tanker,2260,3445,2005,88.22,In Service,Columbia Shipmgmt,Schoeller Holdings,Sea Tank Chartering,Gibraltar,,IFO 380,Diesel 4-Stroke,,,960,1850,MGO,,,,ID,2,,Y,6M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12,5.95,13,Caterpillar,Turkey,Germany,11,Chemical Tankers,7.55
Taekyung Rhea,Chemical Bulk Tanker,2286,3446,2005,88.22,In Service,Lodestar Marine,Lodestar Marine,Lodestar Marine,South Korea,,IFO 380,Diesel 4-Stroke,,,960,1550,Unspec,,,,ID,2,,Y,6M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,5.95,13,Caterpillar,Turkey,South Korea,12,Chemical Tankers,7.55
Skaw Provider,Chemical Bulk Tanker,2934,4200,2005,96,In Service,Monjasa AS,Monjasa AS,Monjasa AS,Malta,,IFO 180,Diesel 4-Stroke,,,1110,1980,Unspec,,,,ID,2,,Y,6M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12,6.2,14.2,Caterpillar,Turkey,Denmark,43,Chemical Tankers,8.2
YM Venus,Chem Parcel Tanker,3750,5846,2005,105.5,In Service,Chemfleet,Chemfleet,Solar Chartering,Malta,,IFO 380,Diesel 4-Stroke,,,1329,2880,Unspec,,,,ID,2,,Y,6M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,6.2,16.8,Caterpillar,Turkey,Turkey,62,Chemical Tankers,11.42
Bomar Venus,Chem Parcel Tanker,3988,6181,2006,107.34,In Service,Borealis Maritime,Borealis Maritime,Borealis Tankers,Malta,,IFO 180,Diesel 4-Stroke,,,1170,2999,,,,,ID,2,,Y,6M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13.5,6.5,15.8,Caterpillar,Turkey,United Kingdom,82,Chemical Tankers,13
Bomar Mars,Chem Parcel Tanker,3999,6167,2007,107.34,In Service,Borealis Maritime,Borealis Maritime,Borealis Tankers,Malta,,IFO 180,Diesel 4-Stroke,,,1170,2990,,,,,ID,2,,Y,6M32,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13.5,6.5,15.8,Caterpillar,Turkey,United Kingdom,85,Chemical Tankers,13
MRC Semiramis,Chem Parcel Tanker,3999,6138,2008,107.34,In Service,MRC Shipping,MRC Shipping,MRC Shipping,Malta,,IFO 180,Diesel 4-Stroke,,,1170,2999,,,,,ID,2,,Y,6M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.5,6.58,15.8,Caterpillar,Turkey,Turkey,13,Chemical Tankers,
MRC Emirhan,Chem Parcel Tanker,3999,6138,2008,107.34,In Service,MRC Shipping,MRC Shipping,MRC Shipping,Malta,,IFO 380,Diesel 4-Stroke,,,1169,2999,,,,,ID,2,,Y,6M32C,M32,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.5,6.58,15.8,Caterpillar,Turkey,Turkey,14,Chemical Tankers,
Glory Star,Product Carrier,10797,16820,2007,142.5,In Service,Khai Hoan,Khai Hoan,Khai Hoan,Vietnam,,IFO 380,Diesel 4-Stroke,,,1209,4400,IFO 380,,,,ID,2,,Y,8PC2.6,PC2,Diesel 4-Stroke,"Handy Products Tankers 10-54,999 dwt",,Pielstick,13,8.95,23,MAN Energy Solutions,China P.R.,Vietnam,12,Product Tankers,
Yu Yi,Product Carrier,11553,17000,2013,150.6,In Service,Maple Leaf Shipping,Maple Leaf Shipping,Maple Leaf Shipping,Hong Kong,,IFO 180,Diesel 2-Stroke,,,1830,4440,IFO 180,,,,ID,2,,Y,6S35MC7.2,S35,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,,9.1,22.6,MAN Energy Solutions,China P.R.,China P.R.,18000-008,Product Tankers,
San Biagio,Asphalt & Bitumen Carrier,4711,4916,2016,108,In Service,Suisse-Outremer,Suisse-Outremer,Suisse-Outremer,Malta,,IFO 380,Diesel 4-Stroke,,,1455,3000,,,,,ID,2,,Y,6L32,32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Wartsila 4-stroke,,6,17.2,Wartsila,China P.R.,Switzerland,AD0023,Product Tankers,
Bitfjord,Asphalt & Bitumen Carrier,4703,4993,2017,108,In Service,Tarbit Tankers,Tarbit Shipping,Tarbit Tankers,Netherlands,,IFO 380,Diesel 4-Stroke,,,1455,3000,IFO 380,,,,ID,2,,Y,6L32,32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Wartsila 4-stroke,13,6,17.2,Wartsila,China P.R.,Netherlands,AD0056,Product Tankers,
Milos,Chemical Unknown Carrier,2721,3851,2003,93.95,In Service,Empire Chemical,Empire Chemical,Empire Chemical,Panama,,MDO,Diesel 4-Stroke,,,,2040,,,,,ID,2,,Y,6L27/38,27/38,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MAN Energy Solutions,12.6,5.95,14,MAN Energy Solutions,Turkey,Greece,19,Chemical Tankers,
Mekongtrans 01,Chemical Unknown Carrier,5108,7200,2008,117.75,In Service,Mekongtrans,PetroVietnam,Mekongtrans,Vietnam,,IFO 380,Diesel 4-Stroke,,,1035,2572,,,,,ID,2,,Y,6N330-EN,N330,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,Yanmar,13,6.65,17.2,Yanmar,China P.R.,Vietnam,HX-V01,Chemical Tankers,
Uluc Ka,Chemical Bulk Tanker,3981,5468,2004,107.45,In Service,Trans KA Ve Ticaret,Akbasoglu Group,SOCAR,Turkey,,IFO 180,Diesel 4-Stroke,,,1035,2367,Unspec,,,,ID,2,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,13,5.8,16,Caterpillar,Turkey,Turkey,47,Chemical Tankers,
Daniela Melissa,Chemical Bulk Tanker,1207,1774,2005,78.56,In Service,Famar,Famar,Famar,Panama,,MDO,Diesel 4-Stroke,,,,810,Unspec,,,,ID,2,5,Y,6L23/30A,23/30,Diesel 4-Stroke,"Small Chemical Tankers <2,000",,MAN Energy Solutions,11,4.16,10.45,MAN Energy Solutions,Turkey,Angola,15,Chemical Tankers,3
Adiyaman,Chem Parcel Tanker,2890,4318,2005,96.3,In Service,Baki Denizcilik,Baki Denizcilik,Baki Denizcilik,Turkey,,IFO 380,Diesel 4-Stroke,,,1180,2400,Unspec,,,,ID,2,,Y,8M25,M25,Diesel 4-Stroke,"Small Chemical Tankers 2-9,999 dwt",,MaK,12.5,6.2,14.2,Caterpillar,Turkey,Turkey,34,Chemical Tankers,11
