Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Ore Hebei,Ore Carrier,201384,400535,2012,359.9,In Service,VLOC Holding,ICBC,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1108,Bulkers,
Ore Shandong,Ore Carrier,201384,400000,2012,359.92,In Service,VLOC Holding,ICBC,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1109,Bulkers,
Yuan Jian Hai,Ore Carrier,201384,399995,2013,359.86,In Service,China Ore Shipping,China COSCO Shipping,China Ore Shipping,Singapore,Pending,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1112,Bulkers,
Yuan Zhuo Hai,Ore Carrier,201384,399974,2014,359.94,In Service,China Ore Shipping,China COSCO Shipping,China Ore Shipping,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1113,Bulkers,
Ore China,Ore Carrier,201384,400606,2011,359.94,In Service,VLOC Holding,ICBC,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1105,Bulkers,
Ore Dongjiakou,Ore Carrier,201384,400606,2012,359.94,In Service,VLOC Holding,ICBC,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1106,Bulkers,
Pacific Warrior,Ore Carrier,201384,400398,2012,359.94,In Service,China VLOC,China Merchants,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1107,Bulkers,
Yuan Zhen Hai,Ore Carrier,201384,399997,2013,359.94,In Service,China Ore Shipping,China COSCO Shipping,China Ore Shipping,Singapore,Pending,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1110,Bulkers,
Yuan Shi Hai,Ore Carrier,201384,400000,2013,359.94,In Service,China Ore Shipping,China COSCO Shipping,China Ore Shipping,Singapore,Pending,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1111,Bulkers,
Pacific Merchants,Ore Carrier,201384,400101,2014,359.94,In Service,China VLOC,China Merchants,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23,64.99,CSSC,China P.R.,China P.R.,H1114,Bulkers,
Pacific Winner,Ore Carrier,201384,400065,2014,359.88,In Service,China VLOC,China Merchants,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23.02,64.99,CSSC,China P.R.,China P.R.,H1115,Bulkers,
Pacific Mariner,Ore Carrier,201384,400032,2015,359.94,Repairs,China VLOC,China Merchants,Hong Kong Ming Wah,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4560,29400,,,,,,140,N,7RT-flex82T-A,flex82T,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.8,23.02,65,CSSC,China P.R.,China P.R.,H1116,Bulkers,
Sea Beijing,Ore Carrier,199959,403818,2011,361,In Service,Pan Ocean,Pan Ocean,Vale,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,16.41,22,65,MAN Energy Solutions,South Korea,South Korea,1701,Bulkers,
Sea Espirito Santo,Ore Carrier,199959,403627,2012,361,In Service,Pan Ocean,Pan Ocean,Vale,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,22,65,MAN Energy Solutions,China P.R.,South Korea,1703,Bulkers,
Sea Fujiyama,Ore Carrier,199959,403811,2012,361,In Service,Pan Ocean,Pan Ocean,Pan Ocean,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,22,65,MAN Energy Solutions,South Korea,South Korea,1705,Bulkers,
Sea Ponta da Madeira,Ore Carrier,199959,403508,2016,361,In Service,Pan Ocean,Pan Ocean,Pan Ocean,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,3762,29260,IFO 380,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,23.02,65,MAN Energy Solutions,China P.R.,South Korea,1707,Bulkers,
Sea Maranhao,Ore Carrier,199959,403844,2013,361,In Service,Pan Ocean,Pan Ocean,Pan Ocean,South Korea,Fitted,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,22,65,MAN Energy Solutions,South Korea,South Korea,1708,Bulkers,
Sea Qingdao,Ore Carrier,199959,403919,2012,361,In Service,Pan Ocean,Pan Ocean,Pan Ocean,Marshall Is.,,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,22,65,MAN Energy Solutions,South Korea,South Korea,1702,Bulkers,
Sea Indonesia,Ore Carrier,199959,403727,2012,361,In Service,Pan Ocean,Pan Ocean,Pan Ocean,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,3762,29260,,,,,,110,N,7S80ME-C8.2,S80,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.8,22,65,MAN Energy Solutions,China P.R.,South Korea,1704,Bulkers,
