Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Price (NB),Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
MSC Leni,Fully Cellular Container,232618,228149,2019,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2250,Containerships,
MSC Mia,Fully Cellular Container,232618,228149,2019,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2251,Containerships,
MSC Febe,Fully Cellular Container,232618,228149,2019,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2252,Containerships,
MSC Gulsun,Fully Cellular Container,232618,228149,2019,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2248,Containerships,
MSC Samar,Fully Cellular Container,232618,228149,2019,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2249,Containerships,
MSC Ambra,Fully Cellular Container,232618,228149,2020,399.9,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23756,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.5,61.51,MAN Energy Solutions,South Korea,Italy,2253,Containerships,
MSC Arina,Fully Cellular Container,228741,224983,2019,399.76,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23656,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.35,61,MAN Energy Solutions,South Korea,Italy,4315,Containerships,
MSC Nela,Fully Cellular Container,228741,224983,2019,399.76,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23656,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.35,61,MAN Energy Solutions,South Korea,Italy,4316,Containerships,
MSC Sixin,Fully Cellular Container,228741,224983,2019,399.76,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23656,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.35,61,MAN Energy Solutions,South Korea,Italy,4317,Containerships,
MSC Mina,Fully Cellular Container,228741,224983,2019,399.76,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23656,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.35,61,MAN Energy Solutions,South Korea,Italy,4313,Containerships,
MSC Isabella,Fully Cellular Container,228741,224999,2019,399.76,In Service,MSC,MSC,MSC,Panama,Fitted,IFO 380,Diesel 2-Stroke,,23656,13500,75570,,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,,16.35,61,MAN Energy Solutions,South Korea,Italy,4314,Containerships,
Ever Gifted,Fully Cellular Container,217762,199692,2018,400,In Service,Mitsui Warehouse Co,Mitsui Warehouse Co,Evergreen Marine,Singapore,Fitted,IFO 380,Diesel 2-Stroke,,20150,,59300,IFO 380,,,,,,N,11G95ME-C9.5,G95,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,MAN B. & W.,21,,58.5,MAN Energy Solutions,Japan,Japan,8182,Containerships,
CMA CGM Jean Mermoz,Fully Cellular Container,217673,202684,2018,400,In Service,CMA CGM,CMA CGM,CMA CGM,Malta,Fitted,IFO 380,Diesel 2-Stroke,,20600,9000,64350,,,,,,,N,11X92,X92,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,WinGD,,16,59,CSSC,Philippines,France,P0150,Containerships,
CMA CGM Louis Bleriot,Fully Cellular Container,217673,198580,2018,400,In Service,CMA CGM,CMA CGM,CMA CGM,Malta,Fitted,IFO 380,Diesel 2-Stroke,,20600,13500,67430,IFO 380,,,,,,N,11X92,X92,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,WinGD,,16,59,CSSC,Philippines,France,P0151,Containerships,
CMA CGM Antoine de Saint Exupery,Fully Cellular Container,217673,202684,2018,400,In Service,CMA CGM,CMA CGM,CMA CGM,Reg Int. Francais,Fitted,IFO 380,Diesel 2-Stroke,,20600,13500,70950,,,,,,,N,11X92,X92,Diesel 2-Stroke,"Post-Panamax 15,000+ TEU",,WinGD,,16,59,CSSC,Philippines,France,P0149,Containerships,
