Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Crimson Pearl,Chemical & Oil Carrier,30523,51492,2017,186,In Service,Marubeni Corp,Marubeni Corp,D'Amico Soc di Nav,Panama,,IFO 380,Diesel 2-Stroke,,,5480,8470,,,,,,0,,N,7S50ME-B9.5,S50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,,13.02,32,MAN Energy Solutions,Japan,Japan,760,Product Tankers,
Kai Ei Maru 15,Oil Bunkering Tanker,4565,6863,2017,106,In Service,Hai Soon Ship Mgmt,Hai Soon Ship Mgmt,Hai Soon Ship Mgmt,Singapore,,MDO,Diesel 4-Stroke,,,1590,2942,,,,,,0,,N,A45SR,A45,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Akasaka,13.1,6.8,17.3,Akasaka,China P.R.,Singapore,SH066,Product Tankers,
Elandra Bay,Product Carrier,62370,109891,2018,249.9,In Service,Mansel Oil Asia,Vitol Group,Mansel Oil Asia,Liberia,,IFO 380,Diesel 2-Stroke,,,,13450,IFO 380,,,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,15,15.22,44,MAN Energy Solutions,South Korea,Switzerland,5027,Product Tankers,
Elandra Sound,Product Carrier,62370,109893,2018,249.9,In Service,Mansel Oil Asia,Vitol Group,Mansel Oil Asia,Liberia,,IFO 380,Diesel 2-Stroke,,,,13450,IFO 380,,,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Products 85-124,999 dwt",,MAN B. & W.,14,14.64,44,MAN Energy Solutions,South Korea,Switzerland,5028,Product Tankers,
Strimon,Chemical & Oil Carrier,29878,49999,2018,182.99,In Service,Pleiades Shpg Agcy,Pleiades Shpg Agcy,Pleiades Shpg Agcy,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,3300,7180,IFO 380,,,,,0,,N,6X52,X52,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,WinGD,14,13.26,32.2,CSSC,South Korea,Greece,2644,Product Tankers,
Atlantic Guard,Chemical & Oil Carrier,29667,49951,2019,183.06,In Service,Cido Shipping,Cido Shipping,Stena Bulk,Marshall Is.,Fitted,IFO 380,Diesel 2-Stroke,,,3150,7180,IFO 380,,,,,0,,N,6G50ME-B9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14.5,13.32,32.2,MAN Energy Solutions,South Korea,South Korea,8221,Product Tankers,21.4
DHT Mustang,Tanker,160230,317975,2018,333,In Service,DHT Management,DHT Holdings,DHT Management,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,4620,24500,IFO 380,,14.8,,,0,,N,7G80ME-C9.5,G80,Diesel 2-Stroke,"UL/VLCC 200,000+ dwt",,MAN B. & W.,14.8,22.62,60,MAN Energy Solutions,South Korea,United States,2958,Crude Tankers,
Nord Valorous,Chemical & Oil Carrier,29760,50550,2018,183.06,In Service,Norden A/S,Norden A/S,Norient Product Pool,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,2400,7800,IFO 380,,,,,0,,N,6G50ME-C9.5,G50,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,,13.32,32.2,MAN Energy Solutions,Vietnam,Denmark,S445,Product Tankers,
Marine Tina,Product Carrier,3892,6538,2018,88.9,In Service,Sinanju Tankers,Sinanju Tankers,Sinanju Tankers,Singapore,,,Diesel 4-Stroke,,,1521,2056,MGO,,,,,0,,N,6DKM-20e,DKM,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Daihatsu,11,7.69,17.3,Daihatsu,China P.R.,Singapore,SZ15048,Product Tankers,
Sperchios,Tanker,63497,114516,2018,249.97,In Service,Pleiades Shpg Agcy,Pleiades Shpg Agcy,Pleiades Shpg Agcy,Liberia,Fitted,IFO 380,Diesel 2-Stroke,,,4110,11730,IFO 380,,15.65,,,0,,N,6G60ME-C9.5,G60,Diesel 2-Stroke,"Aframax Crude 85-124,999 dwt",,MAN B. & W.,15.81,14.84,44,MAN Energy Solutions,Japan,Greece,468,Crude Tankers,
