Year,HFO,LSHFO,MDO,LNG,NH3
2020,288,343,476,579,100000
2021,298,355,493,598,100000
2022,314,373,518,611,100000
2023,324,367,534,624,100000
2024,334,379,551,644,100000
2025,349,396,576,656,603
2026,359,407,593,677,603
2027,369,419,609,690,603
2028,379,430,626,703,603
2029,395,447,651,723,603
2030,405,459,668,723,603
2031,405,459,668,723,603
2032,405,459,668,723,603
2033,405,459,668,723,603
2034,405,459,668,723,603
2035,405,459,668,723,603
2036,405,459,668,723,603
2037,405,459,668,723,603
2038,405,459,668,723,603
2039,405,459,668,723,603
2040,405,459,668,723,603
2041,405,459,668,723,603
2042,405,459,668,723,603
2043,405,459,668,723,603
2044,405,459,668,723,603
2045,405,459,668,723,603
2046,405,459,668,723,603
2047,405,459,668,723,603
2048,405,459,668,723,603
2049,405,459,668,723,603
2050,405,459,668,723,603
