Year,HFO,LSHFO,MDO,LNG,NH3
2020,288,343,476,579,100000
2021,298,355,493,598,100000
2022,314,373,518,611,100000
2023,324,367,534,624,100000
2024,334,379,551,644,100000
2025,349,396,576,656,1018
2026,359,407,593,677,1018
2027,369,419,609,690,1018
2028,379,430,626,703,1018
2029,395,447,651,723,1018
2030,405,459,668,723,1018
2031,405,459,668,723,1018
2032,405,459,668,723,1018
2033,405,459,668,723,1018
2034,405,459,668,723,1018
2035,405,459,668,723,1018
2036,405,459,668,723,1018
2037,405,459,668,723,1018
2038,405,459,668,723,1018
2039,405,459,668,723,1018
2040,405,459,668,723,1018
2041,405,459,668,723,1018
2042,405,459,668,723,1018
2043,405,459,668,723,1018
2044,405,459,668,723,1018
2045,405,459,668,723,1018
2046,405,459,668,723,1018
2047,405,459,668,723,1018
2048,405,459,668,723,1018
2049,405,459,668,723,1018
2050,405,459,668,723,1018
