Year,GDP_Deflator
2006,82
2007,84
2008,87
2009,88
2010,89
2011,91
2012,93
2013,94
2014,96
2015,97
2016,98
2017,100
2018,102
2019,103
2020,105
2021,107
2022,110
2023,112
2024,115
2025,117
2026,120
2027,123
2028,126
2029,128
2030,131
2031,134
2032,138
2033,141
2034,144
2035,147
2036,151
2037,154
2038,158
2039,161
2040,165
2041,169
2042,173
2043,177
2044,181
2045,185
2046,189
2047,193
2048,198
2049,202
2050,207
2051,212
2052,217
2053,222
2054,227
2055,232
2056,237
2057,243
2058,248
2059,254
2060,260
2061,266
2062,272
2063,278
2064,285
2065,291
2066,298
2067,305
2068,312
2069,319
2070,326
2071,334
2072,342
2073,349
2074,358
2075,366
2076,374
2077,383
2078,392
2079,401
2080,410
2081,419
2082,429
2083,439
2084,449
2085,459
2086,470
2087,480
2088,492
2089,503
2090,514
2091,526
2092,538
2093,551
2094,563
2095,576
2096,590
2097,603
2098,617
2099,631
2100,646
