Year,GBP_USD,GBP_Euro
2001,1.44,1.61
2002,1.50,1.59
2003,1.64,1.45
2004,1.83,1.47
2005,1.82,1.46
2006,1.84,1.47
2007,2.00,1.46
2008,1.85,1.26
2009,1.57,1.12
2010,1.55,1.17
2011,1.60,1.15
2012,1.59,1.23
2013,1.56,1.18
2014,1.65,1.24
2015,1.53,1.38
2016,1.35,1.22
2017,1.25,1.17
2018,1.26,1.16
2019,1.28,1.15
2020,1.30,1.15
2021,1.31,1.14
2022,1.31,1.14
2023,1.31,1.14
2024,1.31,1.14
2025,1.31,1.14
2026,1.31,1.14
2027,1.31,1.14
2028,1.31,1.14
2029,1.31,1.14
2030,1.31,1.14
2031,1.31,1.14
2032,1.31,1.14
2033,1.31,1.14
2034,1.31,1.14
2035,1.31,1.14
