Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Shandong Xin Rui,Ore Carrier,135462,262037,2015,325,In Service,Shandong Shipping,Shandong Ocean,Shandong Shipping,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,3300,18600,,,,,Category II,1,57,Y,6X82,X82,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.5,18.7,57,CSSC,China P.R.,China P.R.,OC25.0 2,Bulkers,56.3
Shandong He Xie,Ore Carrier,135462,262062,2014,325,In Service,Shandong Shipping,Shandong Ocean,Shandong Shipping,Hong Kong,Fitted,IFO 380,Diesel 2-Stroke,,,3300,18600,,,,,Category II,1,57,Y,6X82,X82,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.5,18.7,57,CSSC,China P.R.,China P.R.,OC25.0 1,Bulkers,56.3
Shandong Zheng Tong,Ore Carrier,133524,262214,2015,325,In Service,Shandong Shipping,Shandong Ocean,Shandong Shipping,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,,4110,18600,,,,,Category II,1,57,Y,6X82,X82,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.5,18.7,57,CSSC,China P.R.,China P.R.,OC25.0-5,Bulkers,56.3
Shandong Ren He,Ore Carrier,133524,262158,2015,325,In Service,Shandong Shipping,Shandong Ocean,Shandong Shipping,Hong Kong,Pending,IFO 380,Diesel 2-Stroke,,,3300,18600,,,,,Category II,1,57,Y,6X82,X82,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,Wartsila 2-stroke,14.5,18.7,57,CSSC,China P.R.,China P.R.,OC25.0-6,Bulkers,56.3
Berge Arctic,Ore Carrier,91563,174285,2001,292,In Service,Berge Bulk,Berge Bulk,Berge Bulk,Panama,,IFO 380,Diesel 2-Stroke,,,2368,16718,,,,,IC,3,,Y,7S70MC6,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14.5,17.39,48,MAN Energy Solutions,South Korea,Bermuda,1127,Bulkers,72
Alice,Bulk Carrier,85616,169963,1997,289,In Service,Laredo Marine,Laredo Marine,Laredo Marine,Cyprus,,IFO 380,Diesel 2-Stroke,,,2405,15173,IFO 380,,,,IC,3,44.5,Y,6S70MC6,S70,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,MAN B. & W.,14,17.62,45,MAN Energy Solutions,South Korea,Cyprus,1106,Bulkers,59.5
Vitus Bering,Bulk Carrier,66291,104548,2019,249.92,In Service,Platano Eesti OU,Platano Eesti OU,Platano Eesti OU,Bahamas,,IFO 380,Diesel 2-Stroke,,,2664,20300,,,,,IA,5,,Y,7X62B,X62,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,WinGD,,14.5,43,CSSC,China P.R.,Estonia,S1251,Bulkers,
Admiral Schmidt,Bulk Carrier,66291,108000,2019,250,In Service,Platano Eesti OU,Platano Eesti OU,Platano Eesti OU,Bahamas,Fitted,IFO 380,Diesel 2-Stroke,,,2880,20300,,,,,IA,5,,Y,7X62B,X62,Diesel 2-Stroke,"Capesize Bulkers 100,000+ dwt",,WinGD,,14.5,43,CSSC,China P.R.,Estonia,S1250,Bulkers,
Guo Yu 702,Bulk Carrier,45381,74952,2012,234.9,In Service,Wuhan Jiangyu,Guoyu Logistics,Wuhan Jiangyu,China P.R.,,IFO 380,Diesel 2-Stroke,,,,9960,,,,,Category II,1,,Y,6RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,14.29,12.5,34.5,CSSC,China P.R.,China P.R.,GY19,Bulkers,
Guo Yu 701,Bulk Carrier,45381,75052,2011,234.9,In Service,Shenzhen Zhenyang,Shenzhen Zhenyang,Shenzhen Zhenyang,China P.R.,,IFO 380,Diesel 2-Stroke,,,,9960,,,,,Category II,1,,Y,6RT-flex50-B,flex50,Diesel 2-Stroke,"Panamax Bulkers 65-99,999 dwt",,Wartsila 2-stroke,,12.5,34.5,CSSC,China P.R.,China P.R.,GY18,Bulkers,
