design_number,ship name,efficiency measure number,efficiency_measures,efficiency measure description,design_speed_kts,cargo type,cargo density (te/m3),cargo capacity (t),design_deadweight_te,design deadweight (m3),design_TEUs,design waterline length (m),design_beam_m,design_draught_m,hull depth (m),lightweight (t),design_displacement_t,installed_main_engine_power_kW,design_main_engine_sfc,design_engine_method,main engine mass (t),main engine volume (m3),design engine margin (%),design shaft power (kW),design propeller open water efficiency (%),design propeller pitch over diameter ratio,design thrust deduction,design wake fraction,design propulsion coefficient,design added resistance (kN),design speed loss due to added resistance (kts),design wave resistance,design increase in viscous resestance due to fouling (%),design total resistance (kN),installed_auxiliary_power_kW,design_auxiliary_engine_SFC_gkWhr,total aux engine mass (te),total auxiliary engine volume (m3),number of auxiliary engines,design auxiliary energy (kW),design heat energy (kW),design main engine fuel (tpd),design aux engine fuel (tpd),design heat fuel (tpd),technology mass (t),technology volume (m3),technology unit purchase cost ($),technology annual through life cost ($),block coefficient,midship coefficient,waterplane_coefficient,longitudinal_centre_of_buoyancy,arrangement propeller diameter (m),arrangement bow space length (m),arrangement length of compartments (m),arrangement length of small compartment (m),arrangement bulkhead/cofferdam thickness (m),arrangement total number of compartments,arrangement number of open compartments,arrangement superstructure length (m),arrangement superstructure position,arrangement engine room position,arrangement overall length (m),arrangement deck height (m),arrangement decks in superstructure,arrangement available deck length (m),arrangement superstructure volume (m3),arrangement bow rake from vertical (radians),arrangement stern slope angle (radians),arrangement flare angle (radians),arrangement deadrise angle (radians),arrangement parallel midbody angle (radians),arrangement stern position over waterline,arrangement propeller position over waterline,arrangement after cutup position over waterline,arrangement parallel midbody aft point over waterline,arrangement parallel midbody fwd point over waterline,arrangement propeller clearance from hull over propeller diameter,arrangement propeller clearance from keel over propeller diameter,arrangement overlap between waterline draught and transom (m),arrangement number of propulsors,arrangement clearance between multiple propulsors over propeller diameter,arrangement transom length over beam at stern,design gz at 0 degrees,design gz at 5 degrees,design gz at 10 degrees,design gz at 15 degrees,design gz at 20 degrees,design gz at 25 degrees,design gz at 30 degrees,design gz at 35 degrees,design gz at 40 degrees,design area under gz at 0 degrees,design area under gz at 5 degrees,design area under gz at 10 degrees,design area under gz at 15 degrees,design area under gz at 20 degrees,design area under gz at 25 degrees,design area under gz at 30 degrees,design area under gz at 35 degrees,design area under gz at 40 degrees,water density,profile 1 / design name,profile 1 / design main energy source,profile 1 / design auxiliary energy source,profile 1 / design heat energy source,profile 1 / design profile avg speed,profile 1 / design profile avg shaft power,profile 1 / design profile avg aux engine power,profile 1 / design profile avg heat fuel power,profile 1 / design profile avg main engine fuel,profile 1 / design profile avg aux engine fuel,profile 1 / design profile avg heat fuel,profile 2 name,profile 2 main energy source,profile 2 auxiliary energy source,profile 2 heat energy source,profile 2 avg speed,profile 2 avg shaft power,profile 2 avg aux engine power,profile 2 avg heat fuel power,profile 2 avg main engine fuel,profile 2 avg aux engine fuel,profile 2 avg heat fuel,profile 3 name,profile 3 main energy source,profile 3 auxiliary energy source,profile 3 heat energy source,profile 3 avg speed,profile 3 avg shaft power,profile 3 avg aux engine power,profile 3 avg heat fuel power,profile 3 avg main engine fuel,profile 3 avg aux engine fuel,profile 3 avg heat fuel,profile 4 name,profile 4 main energy source,profile 4 auxiliary energy source,profile 4 heat energy source,profile 4 avg speed,profile 4 avg shaft power,profile 4 avg aux engine power,profile 4 avg heat fuel power,profile 4 avg main engine fuel,profile 4 avg aux engine fuel,profile 4 avg heat fuel,profile 5 name,profile 5 main energy source,profile 5 auxiliary energy source,profile 5 heat energy source,profile 5 avg speed,profile 5 avg shaft power,profile 5 avg aux engine power,profile 5 avg heat fuel power,profile 5 avg main engine fuel,profile 5 avg aux engine fuel,profile 5 avg heat fuel,all profiles avg speed,all profiles avg shaft power,all profiles avg aux engine power,all profiles avg heat fuel power,all profiles avg main engine fuel,all profiles avg aux engine fuel,all profiles avg heat fuel,WSM version number
0,Dry Bulk Ship Size 1,0,none fitted,,10,Dry Bulk,1.07,4288,4288,4007.476636,104.7226481,80.16118386,14.8,6.051497182,7.70049023,1513.19923,5801.19923,558.2518936,190.6957548,Small Engine 3rd GHG Study Equation.,21.4926979,19.53881628,0.742718447,414.6239792,93.02728589,1.15,0.20111833,0.328133686,1.129185996,0,0,16.21924848,0,91.00917327,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,1.897608784,1.604500464,0,0,0,0,0,0.795853759,0.998,0.93378683,2.417075182,3.690341387,5.6749,30,0.499670987,0.09,3,1,30.49967099,1,1,81.07,2.8,4,50.48032901,5055.625463,0.267035376,0.136135682,0,0,0.251327412,-0.016049524,0.023,0.038,0.044,0.894574623,0.25,0.035,0,1,1,0.965,0,0.17324364,0.372481615,0.567297017,0.737889955,0.873376426,0.970087666,1.029870136,1.058386289,0,0.4331091,2.230531335,5.51118195,10.19239192,16.06528276,22.85738406,30.28249773,38.07781413,1.024,Simple Containers,HFO,HFO,HFO,8.47,275.7346327,310,0,1.308828382,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,338.8,11029.38531,12400,0,52.35313527,64.18001854,0,0.9.4.8.1 (beta)
1,Dry Bulk Ship Size 1,0,none fitted,,11,Dry Bulk,1.07,4288,4288,4007.476636,104.7226481,80.1287277,14.8,6.26761169,7.975494514,1566.252775,5854.252775,684.113878,190.6957548,Small Engine 3rd GHG Study Equation.,26.3383843,23.94398573,0.742718447,508.1039967,113.0366962,1.35,0.200709266,0.306547959,1.32653453,0,0,30.43030433,0,119.1087743,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,2.325438604,1.604500464,0,0,0,0,0,0.775439135,0.998,0.924035702,2.0087827,3.775706617,5.6749,30,0.499670987,0.09,3,1,30.49967099,1,1,81.07,2.8,4,50.48032901,5055.625463,0.267035376,0.136135682,0,0,0.251327412,-0.017361596,0.023,0.038,0.044,0.882042085,0.25,0.035,0,1,1,0.965,0,0.156464614,0.346813417,0.537723182,0.707325651,0.843377963,0.941433584,1.003013885,1.033780546,0,0.391161536,2.04051815,5.118893187,9.575823222,15.22089638,21.79137016,29.00607279,36.60559358,1.024,Simple Containers,HFO,HFO,HFO,9.317,316.6691856,310,0,1.513131589,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,372.68,12666.76742,12400,0,60.52526357,64.18001854,0,0.9.4.8.1 (beta)
2,Dry Bulk Ship Size 1,0,none fitted,,12,Dry Bulk,1.07,4288,4288,4007.476636,104.7226481,80.09392145,14.8,6.499374635,8.270411333,1622.909297,5910.909297,855.5837463,190.6957548,Small Engine 3rd GHG Study Equation.,32.93997423,29.94543112,0.742718447,635.457831,133.1602566,1.5,0.200283867,0.285013368,1.511862716,0,0,51.83479177,0,155.6263449,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,2.908298657,1.604500464,0,0,0,0,0,0.755024511,0.998,0.914963315,1.600490218,3.867252981,5.6749,30,0.499670987,0.09,3,1,30.49967099,1,1,81.07,2.8,4,50.48032901,5055.625463,0.267035376,0.136135682,0,0,0.251327412,-0.018673669,0.023,0.038,0.044,0.869509547,0.25,0.035,0,1,1,0.965,0,0.140063145,0.321611962,0.508565397,0.677081576,0.81360971,0.91294252,0.976269332,1.009230024,0,0.350157862,1.854503491,4.733976791,8.969507714,14.38893987,20.73934472,27.74473065,35.14915237,1.024,Simple Containers,HFO,HFO,HFO,10.164,373.3961929,310,0,1.794513923,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,406.56,14935.84772,12400,0,71.7805569,64.18001854,0,0.9.4.8.1 (beta)
3,Dry Bulk Ship Size 1,0,none fitted,,13,Dry Bulk,1.07,4288,4288,4007.476636,104.7226481,80.05650754,14.8,6.748501156,8.587423186,1683.532069,5971.532069,1191.137815,190.6957548,Small Engine 3rd GHG Study Equation.,45.85880589,41.68982354,0.742718447,884.6800279,139.583914,1.6,0.199839804,0.264160962,1.535398013,0,0,83.18381909,0,203.1089754,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,4.048913416,1.604500464,0,0,0,0,0,0.734609887,0.998,0.901774324,1.192197736,3.965657957,5.6749,30,0.499670987,0.09,3,1,30.49967099,1,1,81.07,2.8,4,50.48032901,5055.625463,0.267035376,0.136135682,0,0,0.251327412,-0.019985741,0.023,0.038,0.044,0.85697701,0.25,0.035,0,1,1,0.965,0,0.12394831,0.296695318,0.479551704,0.646797634,0.783626082,0.884086693,0.949030335,0.984054544,0,0.309870774,1.671350618,4.353706469,8.368459074,13.56151245,19.68985959,26.48286889,33.68815693,1.024,Simple Containers,HFO,HFO,HFO,11.011,494.710709,310,0,2.388752341,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,440.44,19788.42836,12400,0,95.55009365,64.18001854,0,0.9.4.8.1 (beta)
4,Dry Bulk Ship Size 1,0,none fitted,,14,Dry Bulk,1.07,4288,4288,4007.476636,104.7226481,80.01619038,14.8,7.016959371,8.929034493,1748.533296,6036.533296,2009.224658,190.6957548,Small Engine 3rd GHG Study Equation.,77.35514934,70.32286303,0.742718447,1492.288217,116.4816351,1.6,0.199374624,0.244437146,1.24414991,0,0,120.1873784,0,257.7879763,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,6.829752669,1.604500464,0,0,0,0,0,0.714195263,0.998,0.89360188,0.783905255,4.071698952,5.6749,30,0.499670987,0.09,3,1,30.49967099,1,1,81.07,2.8,4,50.48032901,5055.625463,0.267035376,0.136135682,0,0,0.251327412,-0.021297813,0.023,0.038,0.044,0.844444472,0.25,0.035,0,1,1,0.965,0,0.108016849,0.271856881,0.450373282,0.616064938,0.752921139,0.854266845,0.920608678,0.957481826,0,0.270042123,1.48976857,3.97498618,7.767014937,12.72964248,18.62991528,25.2027712,32.19951915,1.024,Simple Containers,HFO,HFO,HFO,11.858,830.724508,310,0,4.011535872,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,474.32,33228.98032,12400,0,160.4614349,64.18001854,0,0.9.4.8.1 (beta)
5,Dry Bulk Ship Size 2,0,none fitted,,13,Dry Bulk,1.07,26834,26834,25078.50467,655.3469077,154.7991577,26.2,10.41376668,14.78584732,7820.184028,34654.18403,4348.021736,185.520143,Two-stroke 5 Cylinder MAN B&W G40ME-C9.5-TII,167.3988368,152.1807608,0.742718447,3229.35595,68.59799344,1.05,0.205372325,0.348418159,0.849967281,0,0,54.93812092,0,410.4308934,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,14.37865386,1.604500464,0,0,0,0,0,0.808928263,0.998,0.85980548,2.678565259,5.413437838,10.948,30,0.827916251,0.09,5,3,30.82791625,1,1,156.4,2.8,4,125.4820837,9046.143745,0.267035376,0.136135682,0,0,0.251327412,-0.01520921,0.023,0.038,0.044,0.902601061,0.25,0.035,0,1,1,0.965,0,0.226066447,0.507653748,0.802565306,1.079461278,1.316542444,1.500234982,1.623876474,1.686403418,0,0.565166117,2.964632722,7.509314726,14.22079445,22.90945695,33.24275662,44.80362272,57.13901363,1.024,Simple Containers,HFO,HFO,HFO,11.011,2362.679899,310,0,10.82815402,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,440.44,94507.19594,12400,0,433.1261609,64.18001854,0,0.9.4.8.1 (beta)
6,Dry Bulk Ship Size 2,0,none fitted,,14,Dry Bulk,1.07,26834,26834,25078.50467,655.3469077,154.7606983,26.2,10.66395171,15.14106919,8007.955441,34841.95544,5762.004001,182.4484427,Two-stroke 5 Cylinder MAN B&W G45ME-C9.5-TII,221.837154,201.67014,0.742718447,4279.546661,69.33021962,1.15,0.204936653,0.331875174,0.836048298,0,0,91.62539355,0,496.7825905,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,18.73911897,1.604500464,0,0,0,0,0,0.794230437,0.998,0.851848672,2.384608741,5.512260925,10.948,30,0.827916251,0.09,5,3,30.82791625,1,1,156.4,2.8,4,125.4820837,9046.143745,0.267035376,0.136135682,0,0,0.251327412,-0.016153857,0.023,0.038,0.044,0.893578065,0.25,0.035,0,1,1,0.965,0,0.205908201,0.469410802,0.749444102,1.015321488,1.245486766,1.426268412,1.550635092,1.616952716,0,0.514770502,2.717838513,6.938502779,13.22402701,21.41435136,31.20745622,42.21538601,54.01094326,1.024,Simple Containers,HFO,HFO,HFO,11.858,3016.171385,310,0,13.64349039,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,474.32,120646.8554,12400,0,545.7396156,64.18001854,0,0.9.4.8.1 (beta)
7,Dry Bulk Ship Size 2,0,none fitted,,15,Dry Bulk,1.07,26834,26834,25078.50467,655.3469077,154.72037,26.2,10.9262949,15.51355366,8204.461702,35038.4617,7647.280774,178.2815629,Two-stroke 6 Cylinder MAN B&W S50ME-B9.5-TII,294.4203098,267.6548271,0.742718447,5679.776497,69.58155843,1.25,0.204492637,0.315304883,0.816860435,0,0,143.5356652,0,601.2472721,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,24.30238633,1.604500464,0,0,0,0,0,0.779532611,0.998,0.842836559,2.090652222,5.615886485,10.948,30,0.827916251,0.09,5,3,30.82791625,1,1,156.4,2.8,4,125.4820837,9046.143745,0.267035376,0.136135682,0,0,0.251327412,-0.017098504,0.023,0.038,0.044,0.88455507,0.25,0.035,0,1,1,0.965,0,0.186132531,0.431639808,0.696678673,0.95129056,1.174225124,1.351764842,1.476550897,1.546410633,0,0.465331327,2.4750935,6.374989221,12.23660899,19.9286246,29.17916232,39.62936378,50.87814485,1.024,Simple Containers,HFO,HFO,HFO,12.705,3854.515284,310,0,17.10079738,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,508.2,154180.6114,12400,0,684.0318952,64.18001854,0,0.9.4.8.1 (beta)
8,Dry Bulk Ship Size 2,0,none fitted,,16,Dry Bulk,1.07,26834,26834,25078.50467,655.3469077,154.6780355,26.2,11.20168812,15.90456704,8410.303576,35244.30358,9703.351878,176.1439944,Two-stroke 7 Cylinder MAN B&W G50ME-B9.5-TII,373.5790473,339.6173157,0.742718447,7206.858434,72.58829973,1.4,0.204039469,0.299024106,0.830176178,0,0,213.7852609,0,726.8780363,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,30.46667595,1.604500464,0,0,0,0,0,0.764834785,0.998,0.832719069,1.796695704,5.724666807,10.948,30,0.827916251,0.09,5,3,30.82791625,1,1,156.4,2.8,4,125.4820837,9046.143745,0.267035376,0.136135682,0,0,0.251327412,-0.018043151,0.023,0.038,0.044,0.875532075,0.25,0.035,0,1,1,0.965,0,0.166683935,0.394230562,0.644105128,0.887152158,1.102490259,1.276407904,1.401260535,1.474369281,0,0.416709838,2.23570592,5.817121551,11.25552758,18.44751402,27.15098507,37.03617593,47.72840181,1.024,Simple Containers,HFO,HFO,HFO,13.552,4694.621994,310,0,20.66083527,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,542.08,187784.8797,12400,0,826.4334108,64.18001854,0,0.9.4.8.1 (beta)
9,Dry Bulk Ship Size 2,0,none fitted,,17,Dry Bulk,1.07,26834,26834,25078.50467,655.3469077,154.6335444,26.2,11.49111092,16.31550013,8626.136682,35460.13668,12454.15444,176.061484,Two-stroke 6 Cylinder MAN B&W G60ME-C9.5-TII,479.4849459,435.8954054,0.742718447,9249.930238,74.28476397,1.5,0.203576327,0.283285149,0.828497762,0,0,304.1975517,0,876.2865509,364.7058824,215.6586645,1.513529412,1.969411765,1,310,0,39.08535467,1.604500464,0,0,0,0,0,0.750136959,0.998,0.82466599,1.502739185,5.838988812,10.948,30,0.827916251,0.09,5,3,30.82791625,1,1,156.4,2.8,4,125.4820837,9046.143745,0.267035376,0.136135682,0,0,0.251327412,-0.018987797,0.023,0.038,0.044,0.866509079,0.25,0.035,0,1,1,0.965,0,0.147501793,0.357062716,0.591544494,0.822670062,1.029990362,1.199852176,1.324367287,1.400383316,0,0.368754483,1.998920237,5.263095051,10.27749268,16.96581889,25.11540114,34.42558023,44.54837496,1.024,Simple Containers,HFO,HFO,HFO,14.399,5819.309376,310,0,25.68261019,1.604500464,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,575.96,232772.375,12400,0,1027.304408,64.18001854,0,0.9.4.8.1 (beta)
